finding_id,setting,metric,mean,std,n,evidence_path
H11,"subset_method=all, K=124, frontend=spatial2d",greedy_cer,0.1831213821144896,0.011906217455712988,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=spatial2d",greedy_rtf,0.0026391943066277424,7.709955344559533e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=spatial2d",lex_train_cer,0.43694862576880067,0.015456624311140739,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=spatial2d",lex_all_cer,0.11007523942796296,0.021573733960725285,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=spatial2d",greedy_cer,0.579515680416002,0.3524670582446257,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=spatial2d",greedy_rtf,0.0026737021033086785,0.00014873056407279975,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=spatial2d",lex_train_cer,0.704185636155147,0.23722759644940636,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=spatial2d",lex_all_cer,0.5657599084154209,0.40532437730837273,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=spatial2d",greedy_cer,0.3580836144389262,0.3555602889801786,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=spatial2d",greedy_rtf,0.002808227903447093,0.00020727445639293112,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=spatial2d",lex_train_cer,0.5633413896380469,0.23526642725164623,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=spatial2d",lex_all_cer,0.3033229558946866,0.4067675181892613,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=spatial2d",greedy_cer,0.34380888485531197,0.3583972242856248,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=spatial2d",greedy_rtf,0.0026258677270944537,0.00011082771890801716,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=spatial2d",lex_train_cer,0.5492197949385234,0.22352509946966548,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=spatial2d",lex_all_cer,0.27993283357863696,0.4030787286876096,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=spatial2d",greedy_cer,0.48845666905460816,0.14648043620228549,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=spatial2d",greedy_rtf,0.0026699489245899924,0.00014704594803777342,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=spatial2d",lex_train_cer,0.6284358285266161,0.08946408123973412,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=spatial2d",lex_all_cer,0.4775266292304593,0.20176439753314648,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=spatial2d",greedy_cer,0.26091757336496246,0.034586794493165096,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=spatial2d",greedy_rtf,0.002895349600866188,0.00035152018122678696,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=spatial2d",lex_train_cer,0.48801157663407835,0.023633729375676274,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=spatial2d",lex_all_cer,0.19246016471657157,0.047600663193317044,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=spatial2d",greedy_cer,0.23037738854103285,0.040471312097219804,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=spatial2d",greedy_rtf,0.002766516103499527,0.00027516021035820524,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=spatial2d",lex_train_cer,0.4663270166799596,0.03618611546213486,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=spatial2d",lex_all_cer,0.15244676851905145,0.05954899554865358,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=vector",greedy_cer,0.10475742308909865,0.010758558393790611,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=vector",greedy_rtf,0.0004690398831084274,1.6576592865030325e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=vector",lex_train_cer,0.39404221877107004,0.016873879104914037,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=all, K=124, frontend=vector",lex_all_cer,0.03781837649443339,0.014297307409703834,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=vector",greedy_cer,0.14397319715557455,0.015739583785043025,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=vector",greedy_rtf,0.0005135800622331928,2.5228725603090792e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=vector",lex_train_cer,0.4157849269844924,0.02199646314123948,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=32, frontend=vector",lex_all_cer,0.07096774283343474,0.008935425476397649,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=vector",greedy_cer,0.11945550694592907,0.011846512445644037,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=vector",greedy_rtf,0.0005324717126943289,0.00010894983263074144,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=vector",lex_train_cer,0.40573074906332396,0.015784556030063023,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=64, frontend=vector",lex_all_cer,0.04602212674453343,0.007103289279332687,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=vector",greedy_cer,0.11371117796433644,0.01853550151121171,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=vector",greedy_rtf,0.00048560221539950164,3.384991710230394e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=vector",lex_train_cer,0.40190712415103025,0.020574863654909722,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=fps2k, K=96, frontend=vector",lex_all_cer,0.049428842598683305,0.008704524340544736,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=vector",greedy_cer,0.13991113782841905,0.018704707435353157,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=vector",greedy_rtf,0.0004906094464863154,3.9845921963240536e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=vector",lex_train_cer,0.41060269784283576,0.0143928451683835,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=32, frontend=vector",lex_all_cer,0.07004641325708366,0.021040498518519815,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=vector",greedy_cer,0.12887873899559824,0.015542984284734631,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=vector",greedy_rtf,0.0004759518425483324,5.1095569878727464e-06,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=vector",lex_train_cer,0.4093595272012915,0.014089855867984056,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=64, frontend=vector",lex_all_cer,0.05951190407669918,0.011002990056242987,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=vector",greedy_cer,0.11939609105628553,0.019999644366433745,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=vector",greedy_rtf,0.0004752494997413124,2.6832357605551945e-05,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=vector",lex_train_cer,0.40701569583312774,0.019462602598814955,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H11,"subset_method=topk, K=96, frontend=vector",lex_all_cer,0.05813400274493359,0.028322849312706608,4,results/ed20260217/paperjson/h11_spatial2d_vs_vector_p1_k32_k64_k96_k124_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=0, drop_rate=0.0",delta_cer,0.0,0.0,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=0, drop_rate=0.1",delta_cer,0.0245135,0.002701075649934053,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=0, drop_rate=0.2",delta_cer,0.078347,0.016201870879623746,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=0, drop_rate=0.3",delta_cer,0.14403275,0.018337409038629203,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=1, drop_rate=0.0",delta_cer,0.0,0.0,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=1, drop_rate=0.1",delta_cer,0.018333750000000003,0.006492583480402852,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=1, drop_rate=0.2",delta_cer,0.0659815,0.00969253996638652,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H12,"subset_method=topk, K=64, enable_spatial_aug=1, drop_rate=0.3",delta_cer,0.122362,0.011956250889527752,4,results/ed20260217/paperjson/h12_spatial_aug_fixed_dropout_summary_p1_topk_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=rowcol",greedy_cer,0.14655223818979646,0.009196950233200246,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=rowcol",greedy_rtf,0.00217573884699844,0.00035967034342931345,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=rowcol",lex_train_cer,0.41420763510883807,0.012739957590984027,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=rowcol",lex_all_cer,0.0673646106559062,0.008218069587074722,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=rowcol",greedy_cer,0.12550617421626184,0.022273152235892824,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=rowcol",greedy_rtf,0.0021043788342935492,0.00024980262870862583,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=rowcol",lex_train_cer,0.4038847966412592,0.01883357354893348,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=rowcol",lex_all_cer,0.0598052620020611,0.015704009931569972,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=rowcol",greedy_cer,0.14481353971383074,0.023609286438523048,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=rowcol",greedy_rtf,0.0021413209441330672,0.0003187725388906732,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=rowcol",lex_train_cer,0.4192957534041014,0.017738606748366765,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=rowcol",lex_all_cer,0.06582114652367796,0.025957992128954752,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=rowcol",greedy_cer,0.126884069124225,0.016505419418782773,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=rowcol",greedy_rtf,0.0020722703031338155,0.00016391779403987234,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=rowcol",lex_train_cer,0.40730197901078236,0.017199485667097426,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=rowcol",lex_all_cer,0.05442764220414194,0.013437254253293455,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=vector",greedy_cer,0.14397319715557455,0.015739583785043025,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=vector",greedy_rtf,0.0005135800622331928,2.5228725603090792e-05,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=vector",lex_train_cer,0.4157849269844924,0.02199646314123948,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=32, frontend=vector",lex_all_cer,0.07096774283343474,0.008935425476397649,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=vector",greedy_cer,0.11945550694592907,0.011846512445644037,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=vector",greedy_rtf,0.0005324717126943289,0.00010894983263074144,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=vector",lex_train_cer,0.40573074906332396,0.015784556030063023,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=fps2k, K=64, frontend=vector",lex_all_cer,0.04602212674453343,0.007103289279332687,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=vector",greedy_cer,0.13991113782841905,0.018704707435353157,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=vector",greedy_rtf,0.0004906094464863154,3.9845921963240536e-05,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=vector",lex_train_cer,0.41060269784283576,0.0143928451683835,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=32, frontend=vector",lex_all_cer,0.07004641325708366,0.021040498518519815,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=vector",greedy_cer,0.12887873899559824,0.015542984284734631,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=vector",greedy_rtf,0.0004759518425483324,5.1095569878727464e-06,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=vector",lex_train_cer,0.4093595272012915,0.014089855867984056,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
H13,"subset_method=topk, K=64, frontend=vector",lex_all_cer,0.05951190407669918,0.011002990056242987,4,results/ed20260217/paperjson/h13_rowcol_vs_vector_p1_k32_k64_2026-02-17.csv
